id,name,final_image,width,height,sha256
seo,"ドヤ記事作成",final-1600x900/seo.png,1600,900,1c7d90f15940e62c7ecd335f961ec774f99a80a149394eeb3dc8227eb7c9bed6
doyalist,"ドヤリスト",final-1600x900/doyalist.png,1600,900,60e62cddb46deae34831cdf155b59bb1485df128e6e5291445b6a87544a97398
hr,"ドヤHR",final-1600x900/hr.png,1600,900,a0b985881455510534c46819f56054f25f746295475d85ebe963c8efae6eef70
kintai,"ドヤ勤怠",final-1600x900/kintai.png,1600,900,b1e0ce18598119e33d22b5e42fe6a9f6ccdca91d35a1b1f7d020dd0b15c7bf15
promane,"ドヤプロマネ",final-1600x900/promane.png,1600,900,aee3dc18ca1b7831e452116f66050d33c504b7a311b815a7ef046e820f7f8e4c
doyaslide,"ドヤスライド",final-1600x900/doyaslide.png,1600,900,a4e4ca2e02581472a4a168a1a21a0a71acc6d3b9a44a067cf9444b88839a2739
cunning,"ドヤカンニング",final-1600x900/cunning.png,1600,900,9521b32c3c3485fc11b7a866e76c3e9a992205e72a1073f2f19db7623e25121e
sfa,"ドヤ営業管理",final-1600x900/sfa.png,1600,900,b8880f8dff140108a7b1144cf30ebc0b4313a6b88bae6117959cca2edd998e38
shodan,"ドヤ商談準備",final-1600x900/shodan.png,1600,900,9b82ce12aed070d8236c0fba55d27ec591afaa70fb0642d07cdf887f734d0226
aio,"ドヤAIO",final-1600x900/aio.png,1600,900,61b0890adabc275614e4cdeff89c6c49759c952fc50484475560b38a976f2781
adimage,"ドヤ広告画像AI",final-1600x900/adimage.png,1600,900,e1830e1c94ef689260e392f51b90da714a1c184dfef092abe51cd0b04e3c6251
interview,"ドヤインタビュー",final-1600x900/interview.png,1600,900,a8bc94c881cd8fd3355d4939c8c90725e08a400ccb57fe2b258a40721b3af44f
persona,"ドヤペルソナAI",final-1600x900/persona.png,1600,900,7a63e20bf028297211e62a0d732579c0fda7ea63d97fa586d41a1f487d77174d
mensetsu,"ドヤ面接官",final-1600x900/mensetsu.png,1600,900,cda35ae9a97d11da033a61ed0b3520996dab106ba705ad710eba0cb95bc1fe23
quote,"ドヤ見積もりAI",final-1600x900/quote.png,1600,900,fd7e8d88dc1c088b14fde9532e59378386fc68311ec7910c193689c1329535ea
